,Messages,Time Stamp,Spam
171,"this will become zero, never buy far out of the money call.",29-01-2022 15.50,
172,1200 closed 7.65 yesterday . 1180 is a big resistance likely until feb expiry,29-01-2022 9.53,
173,buy hcl tech. at 1080.50.... good return will come... easily reach..1200,29-01-2022 8.10,
174,Apple lifted tech stock index. Nasdaq up finally 417 points. Wipro adr up 4.5%. Boom in tech stockk of india on Monday.,29-01-2022 7.32,
175,HCL TECH SHOWING GOOD STRENGTH STRONG LEVELS KEEP HOLD FOR LONG TURM..,28-01-2022 23.03,
176,"As said below that Apple has posted good results, the Nasdaq has turned in green at 105 points from red of 9 points.",28-01-2022 21.46,
177,Nasdaq has entered in green color by 61 points.,28-01-2022 21.37,
178,"Apple posted good results. Therefore, Nasdaq is stable with 9 points minus. We can see current in IT stocks on Monday and after budget also. Budget always remains neutral for It stocks.",28-01-2022 21.29,
179,HCL Tech is in oversold territories hammered due to panic selling and is at very attractive valuations so buy HCL Tech now as it will cross Rs.1200 soon and head to Rs.1500.,28-01-2022 10.11,
180,"dont confused,I want to buy this stock when 3 digits only price will reach near term have look near term It will reach.",28-01-2022 10.10,
181,BUY HCL TECH AT CMP TG 1250 WITH IN FEW DAYS.,28-01-2022 9.41,
182,"Subject: Release - HCL Technologies Expands Reach in Canada with New Engineering and R&D CenterDear Sir/ Madam,Enclosed please find a release on the captioned subject being issued by the Company today.This is for your information and record...&nbsp",27-01-2022 23.18,
183,HCL Tech posted the highest Q3 revenue jump in 12 years. The sequential 7.6% dollar revenue growth beat even its peers. ..good co to add in every dip..,28-01-2022 8.59,
184,"why IT companies are down in the recent days??? simple reason: US tech stocks are down, so indian IT stocks going down. no rocket science here. today tech stocks are trading green, tomorrow all IT companies would trade flat to green.",28-01-2022 0.09,
185,selling pressure more seen in hcl tech pullback not facing good here target in downside take way to 1055 or 1020 levels may be 980 levels we can seen in hcl tech,27-01-2022 22.09,
186,Dow up 500 points. Sgx up 68 points. Seems relief rally tomorrow.,27-01-2022 21.00,
187,when will dividend credit to the account? any info pl.,27-01-2022 20.44,
188,HCLtech is showing a double top pattern on daily and weekly chart. neckline has already broken. Expect a trend reversal to the downside with first target of 900,27-01-2022 20.35,
189,OI start to increase means FII will resume to dump the shares and bring the markets down .. Now all retailers just hold and watch ..,27-01-2022 14.56,
190,"There will be a trend reversal in IT stocks from tomorrow. Great opportunity to buy gems like Infy, HCL Tech and Wipro today for long term investment.",27-01-2022 14.54,
191,Nasdaq is still in downside dont hurry to buy this let it fall for while once US market start stabilize then start to add,27-01-2022 13.41,
192,Today is the last day for bottom fishing. from tomorrow IT rally will astonish everyone. Buy HCL tech in bulk immediately,27-01-2022 13.30,
193,Any dip can be taken as a fresh buying opportunity. The upside rally can take the share price so high in coming quarters for more info v.gd/GjmAyK,27-01-2022 13.13,
194,Unless HCL is shutting down i dont see a reason why its down by almost 27% - My target for HCL Tech is Rs 1250 for the short term with a stoploss of Rs 1000,27-01-2022 13.03,
195,"It is buy time now. As said on next day of result, it has touched 1080 rwo times. In this range it is strongly delivery buy for a max Rs. 200/ gain in next 2 months.",27-01-2022 12.48,
196,no margin in business I think hcl touch 890 again ceo words ofter 2 quarter margin will sustain.,27-01-2022 12.37,
197,"Strong levels, Good Result, Consolidated in last week,",27-01-2022 12.13,
198,I suggested to book full profits at 1300 plus and see all my followers enjoy the good profits. I also suggested to add below 1090 its also come true but this is not a time to buy in a one time. Its come down and its has logic and that is th...&nbsp,27-01-2022 12.03,
199,These investors have better capability and resources to analyse fundamentals of companies than most retail investors.,27-01-2022 10.10,
200,Impact of Covid left an strong impact on PHARMA sector the charts and volume bar reflects same. To know more for more info v.gd/GjmAyK,27-01-2022 10.00,
201,Disinvestment is on a high agenda and priority for our government now. Get Stocks list who will benefit the most,27-01-2022 7.16,
202,when dividend will will be deposit in the account,26-01-2022 21.57,
203,Buy Confidence Petro Buy promoter increase his holding and Sep quarter Profit is double so buy buy buy,26-01-2022 21.17,
204,"if index options are your cup of tea, for profits remember",26-01-2022 16.15,
205,Tomorrow be ready all operator for strong upper circuit be ready for retailer buying opportunity........bnfs.at/891c,26-01-2022 15.20,
206,BUY BHARTI FOR 250 PROFIT ACHIEVING POINT WITH ANALYST TELGRRM.......... bnfs.at/891c,26-01-2022 15.20,
207,Huge upside potential. Good fundamentals and is currently trading at more than reasonable PRICE. TO GET INSIGHT ON SHORT TERM for more info v.gd/GjmAyK,26-01-2022 15.18,
208,Positive movement expected due to high delivery percentage accumulate for more info v.gd/GjmAyK,26-01-2022 15.11,
209,Quarterly result will start soon to get the latest updates more info v.gd/GjmAyK,25-01-2022 14.48,
210,Buy HCL Tech with target of 1142 & Stop loss at 1119...visit goyaltips,25-01-2022 11.57,
211,Tomorrow be ready all operator for strong upper circuit be ready for retailer buying opportunity........bnfs.at/891c,25-01-2022 11.45,
212,BUY BHARTI FOR 250 PROFIT ACHIEVING POINT WITH ANALYST TELGRRM.......... bnfs.at/891c,25-01-2022 11.45,
213,Unlikely scenario analysis developed strong analytical skills developed strong. How? ..........bnfs.at/891c,25-01-2022 11.29,
214,Fundamentally strong stock add at every dips for long term for more... bnfs.at/891c,25-01-2022 11.27,
215,After few days aap sab ko ye Price 1130 dekh ne ko nai Milega,25-01-2022 11.19,
216,Buy at cmp with in few days all IT STOCK WILL FIRE GUYS BELIEVE ME.,25-01-2022 11.16,
217,Entire IT sector will be Boom in February Month guys just buy your favorite stock.,25-01-2022 11.12,
218,Those who bought at higher levels should definitely add some more at current level and Hold it for 1 month guys dont miss this opportunity.,25-01-2022 11.11,
219,"An investment operation is one which, upon thorough analysis promises safety of principal and an adequate return. Operations not meeting these requirements are speculative. -Benjamin Graham",24-01-2022 20.39,
220,"Some Unauthorized News is coming from another forums, check now... Queen of future",24-01-2022 20.02,
221,"A Daily downtrend of 20-40, What the hell is going on, no respite, no end visible",24-01-2022 17.38,
222,Have an opinion on this news? Post your comment here.,24-01-2022 17.33,
223,"making money is all about correct timing and skill, if you are really interested in profit sharing then wtzp .70.215.37.682",24-01-2022 16.41,
224,"dont suffer more losses, If you are interested in earning big from the market and recovery of your big losses together on profit sharing basis then wtzp 702.15.37.682",24-01-2022 16.41,
225,Friends if you are genuinely interested to work together and grow mutually then dont gamble anymore lets work to grow together on profit sharing basis Wtzp .70.215.37.682,24-01-2022 16.41,
226,"profits and losses are a part of the market and we cannot escape it we have to accept it gracefully and learn to capture the best out of it, if you are interested to work together on profit share then Wtzp. 702.153.76.82",24-01-2022 16.41,
227,"The stock is close to its support zone of 1090-1100. If by any chance, the stock goes below this zone then the next support of 1050 will be tested but if it holds above that level then we can see resistance between 1160-1190 zone. From the ...&nbsp",24-01-2022 15.40,
228,For some it might be fundamentally strong but a pro trader should understand the impact of FII and DII too. for more info v.gd/GjmAyK,24-01-2022 14.43,
229,.....buy hcl tech 1140-1135 cbsl 1125 target 1170-1185-1200..........,24-01-2022 10.34,
230,Right time buy and right time sell see i suggested to book full profits above 1300 and now 1144. The current price i am not suggested to sell but no fresh buy wait to see 1090 and than start. In the meantime i suggested to add only idfc fir...&nbsp,24-01-2022 10.07,
231,"hcl tech seen oversold now, in high 1377 seen, now 1170 means looks opportunity to buy this super IT stock now....target 1500.",24-01-2022 7.46,
232,"Indication a strong price strength, Check RSI. for more info v.gd/GjmAyK",24-01-2022 7.29,
233,Fundamentally the stock is in bright spot and it is over sold. now one can build a portfolio with this stock nearing between 100 dma to 200 dma. the rational behind mgmt is made mandate that it will declare 75% of the profit as dividend. TH...&nbsp,24-01-2022 5.30,
234,"I think one person is in this from HCL management , bloody hell HCL technologies will be on under the floor very soon",23-01-2022 21.30,
235,"HCL technologies will be in very bad condition very soon,MD and CEO both are hiding actual picture, somthing very fishy in side",23-01-2022 21.27,
236,buy hcl tech 1168 target open 1273 1600 1800 stop loss 1143 .1143 is very big support.so guys buy for long term v r getting at very cheap rate,23-01-2022 21.24,
