,Messages,Time Stamp,Spam
179,results positive impact not seen today on Itc due to weak market,04-02-2022 20.25,
180,Investment in banking and finance secter looking super strong after this budget,04-02-2022 20.12,
181,FnO segment is super strong but newbies stay away from this stock,04-02-2022 20.12,
182,Changing the CEO for ITC will be bigger event than posting better results or anything else,04-02-2022 20.04,
183,Huge upside potential. Good fundamentals and is currently trading at more than reasonable PRICE. TO GET INSIGHT ON SHORT TERM for more info bnfs.at/TpJN,04-02-2022 16.07,
184,Any dip can be taken as a fresh buying opportunity. The upside rally can take the share price so high in coming quarters for more info bnfs.at/TpJN,04-02-2022 16.07,
185,everyone is not fool like u...so dont assume the things.. investors of ITC is bigger looser than ITC.,04-02-2022 15.44,
186,Is kaa kuch nahi ho sakta till the time management becomes investor friendly,04-02-2022 15.24,
187,Dabur aur marico 3% up hai isse ghatiya results the dono ke,04-02-2022 15.17,
188,People like this making themselves irrelevant by meaningless comments,04-02-2022 15.11,
189,"Pathetic script , even with all good news and result it is in RED.",04-02-2022 15.02,
190,every one like or not like but still buys itc shares.,04-02-2022 15.00,
191,"closing above 240, buy immediately last chance",04-02-2022 14.58,
192,you are another joker. How many shares are you having and how long,04-02-2022 14.53,
193,when is ex dividend date?,04-02-2022 14.11,
194,I think this share requires something else but not profits..I dont think it will go up..,04-02-2022 13.51,
195,hey puri maharaj dividend ki jagah kabhi kabhi buyback bhi kar liya karo.,04-02-2022 13.48,
196,"Hahaa 239 is a strong resistance zone. So its to be cleared first,hope you understand the numbers in stock charts.All are under pressure only,I can understand your frustration..",04-02-2022 13.46,
197,"everybody knows it 239 has to be crossed to go to 240, without crossing 239 how does it go to 240 ? Genius!",04-02-2022 13.42,
198,239 to be taken off to go past 240 then 245 possible,04-02-2022 12.48,
199,we have delivery of 10 lakh shares with stop loss of 210 to 215......................target is 270 to 300....................bought avg is 212,04-02-2022 13.30,
200,between the last two days over 8 cr shares of this counter has been traded.. but being a laggard itcontinies to deliver as a laggard... nothing can help this company.... Sanjeev shoukd try quitting ... then something can change.,04-02-2022 13.23,
201,"WHATEVER MAY BE , WHO EVER SPEAKS NEGATIVE I AM 200 % SURE THAT ITC WOULD CROSS RS 300 WITHIN THIS MONTH , BUY /HOLD",04-02-2022 13.07,
202,"Why ?? very interesting question . Many people in this forum still try to find the answer, why ITC not performing even after good result and fundamental of company.",04-02-2022 13.00,
203,"according nto me the value of ITC is very cheap at current levels. expecting 500-750 in next 5-7 years, even it can reach in 3 years if FMCG growth is good",04-02-2022 12.08,
204,FIIs have stripped off pants of Indian traders. DIIs also see no clues whats happening in the market. Only few retail investors are protecting. Where is the guts of so called big traders who have been in the market for decades. It looks lik...&nbsp,04-02-2022 12.08,
205,"With cash flows available to ITC , I would expect the company to have a growth rate of 20 per cent YOY. But this is what you can expect out of a mediocre management. But I am invested because of the low valuations the company has got, expec...&nbsp",04-02-2022 12.06,
206,"anytime 10-15% upper circuit, everyone knows that 2% intrest dividend in a week and too chief stock, top indian FMCG company, which is giving double profit from hul",04-02-2022 12.01,
207,Buy ITC as investors are accumulating ITC at current levels after the outstanding and spectacular Q3 results that beat street estimates by miles and is heading to Rs.300.,04-02-2022 11.57,
208,Investors have been patiently waiting for decades after having invested it undergoing losses. This stock is known for erosion of wealth over decades. There is no hope for investment. you will get stuck in the stock for decades.,04-02-2022 11.56,
209,"Mr. Sanjiv Puri and Mr. Vaidyanathan both are very gentle person every qtr they are coming with their sweet commentary and we are innocent people believing their commentary qtr on qtr, continued to invest in their counters and stock price o...&nbsp",04-02-2022 11.56,
210,"ITC is one of India`s foremost private sector companies with a market capitalisation of US $ 45 billion and a turnover of US $ 7 billion. ITC ranks among India`s `10 Most Valuable (Company) Brands`, in a study conducted by Brand Finance and...&nbsp",04-02-2022 11.55,
211,"Already there are talks of doing away with all covid related restrictions due to the reduction in the severity of the infections, which means the hotels business of ITC will also start booming again. This will take the stock to the 350 leve...&nbsp",04-02-2022 11.55,
212,for today it will reach near 240 level...buy..,04-02-2022 11.53,
213,Short term targets rs 400/- and long term rs 1200/- to 1500/-...,04-02-2022 11.35,
214,"Sharp upward trend will be seen in itc..well professionally managed, good corporate governance, good quality products, good brand leaders . target rs 350 to 500/- in coming seasons....",04-02-2022 11.34,
215,You can see burning ass of shorters today... target rs 350/- in coming session. ..no any reason to look backward.. excellent thunder performance...,04-02-2022 11.34,
216,"Target rs 400/-... excellent performance.. itc q3 earnings: revenue up 30 percent to rs 18,366 crore..net profit rs 4156 crore for q3...",04-02-2022 11.32,
217,"This is one of the never ever to invest stocks in life time. if it goes up today, it will come down tomorrow.",04-02-2022 11.32,
218,"FIIs ko maro goli. The corrupt fund mangers, manipulators etc together with a few FIIs will take some scrips to stratosphric heights and ignore rest of them. But for us retailers following them can be costly like what happened with Yes Bank...&nbsp",04-02-2022 11.31,
219,"True,some big fish are accumulating.",04-02-2022 11.31,
220,"4 crore volume till now, 2.25 crore delivery on nse, lootne lag rahe hai log itne chief price par 500 rs ka stock hai",04-02-2022 11.27,
